yrke4,alder_gr,age_label,eloundou_beta,mean_wage,ln_wage,n_obs,z_lnwage,exp_x_zwage
3122,1,21–30,0.4,56775.32653104452,10.946857118274606,4576.0,1.1679917365553316,0.46719669462213265
3123,1,21–30,0.416667,58252.27990202067,10.972538510610852,19178.0,1.2817949475325643,0.534081655403551
3131,1,21–30,0.312103,78535.03292249254,11.271300083484949,1243.0,2.605711729945268,0.813250448051108
3133,1,21–30,0.151515,61235.915038694686,11.022489143410528,241.0,1.50314363176745,0.2277488073672452
3134,1,21–30,0.202026,71022.64735866142,11.170754082043697,2721.0,2.160157311979133,0.43640794110989634
3135,1,21–30,0.104167,52344.63322102289,10.86560469377548,200.0,0.8079338905235571,0.08416004957416737
3139,1,21–30,0.803571,63777.86773049645,11.06316150837297,47.0,1.6833770735591174,1.3527129983769735
3141,1,21–30,0.436111,41398.78220157802,10.631006743959944,3799.0,-0.23165148818674194,-0.10102576216460822
3142,1,21–30,0.383433,44931.76723662215,10.712900334400452,1774.0,0.13124758786649307,0.05032465635841304
3143,1,21–30,0.326923,44542.16709744456,10.70419159471181,2100.0,0.09265612338684032,0.030291417825996
3151,1,21–30,0.251255,64501.51222675072,11.074443947885005,13804.0,1.7333735000501318,0.4355187587550959
3152,1,21–30,0.297135,63427.32559150019,11.057650050590702,28499.0,1.6589538808998059,0.4929332614011638
3153,1,21–30,0.307181,57419.16977511599,10.958133494760284,2853.0,1.217961295660864,0.37413456876239987
3154,1,21–30,0.335772,49742.85089285715,10.814622031614723,28.0,0.5820119240625345,0.19542330776632535
3155,1,21–30,0.40566,67991.10437922561,11.127132157648264,1389.0,1.9668533430895687,0.7978737271577145
3211,1,21–30,0.314571,46521.96391859794,10.747679822392362,2648.0,0.2853676354792271,0.08976838246033594
3212,1,21–30,0.254297,47469.432020906985,10.767841246462345,12723.0,0.37470994087282533,0.09528761383413686
3213,1,21–30,0.426471,41913.09583207186,10.6433536067682,10041.0,-0.1769382306391061,-0.07545902415889022
3214,1,21–30,0.163865,43867.0849444174,10.688919544366868,2690.0,0.02498033911842328,0.0040934032696404304
3230,1,21–30,0.358012,40902.01693540911,10.61893465463919,485.0,-0.2851471285289012,-0.10208609377888897
3240,1,21–30,0.193078,32205.33999830959,10.379887556239645,12959.0,-1.3444482371476736,-0.2595833767319985
3251,1,21–30,0.227083,40187.68971824692,10.601316001796128,2616.0,-0.36322152731466073,-0.0824814340871951
