styrk08,name_en,source
5243,Door to door salespersons,"SSB Klass API, classification 7, language=en"
5244,Contact centre salespersons,"SSB Klass API, classification 7, language=en"
5245,Service station attendants,"SSB Klass API, classification 7, language=en"
5246,Food service counter attendants,"SSB Klass API, classification 7, language=en"
5249,Sales workers not elsewhere classified,"SSB Klass API, classification 7, language=en"
5311,Child care workers,"SSB Klass API, classification 7, language=en"
5312,Teachers¿ aides,"SSB Klass API, classification 7, language=en"
5321,Health care assistants,"SSB Klass API, classification 7, language=en"
5322,Home-based personal care workers,"SSB Klass API, classification 7, language=en"
5329,Personal care workers in health services not elsewhere classified,"SSB Klass API, classification 7, language=en"
5411,Fire-fighters,"SSB Klass API, classification 7, language=en"
5413,Prison guards,"SSB Klass API, classification 7, language=en"
5414,Security guards,"SSB Klass API, classification 7, language=en"
5419,Protective services workers not elsewhere classified,"SSB Klass API, classification 7, language=en"
6111,Field crop and vegetable growers,"SSB Klass API, classification 7, language=en"
6112,Tree and shrub crop growers,"SSB Klass API, classification 7, language=en"
6113,"Gardeners, horticultural and nursery growers","SSB Klass API, classification 7, language=en"
6114,Mixed crop growers,"SSB Klass API, classification 7, language=en"
6121,Livestock and dairy producers,"SSB Klass API, classification 7, language=en"
6122,Poultry producers,"SSB Klass API, classification 7, language=en"
6123,Apiarists and sericulturists,"SSB Klass API, classification 7, language=en"
6129,Animal producers not elsewhere classified,"SSB Klass API, classification 7, language=en"
6130,Mixed crop and animal producers,"SSB Klass API, classification 7, language=en"
6210,Forestry and related workers,"SSB Klass API, classification 7, language=en"
6221,Aquaculture workers,"SSB Klass API, classification 7, language=en"
6222,Fishery workers,"SSB Klass API, classification 7, language=en"
6224,Hunters and trappers,"SSB Klass API, classification 7, language=en"
7112,Bricklayers and related workers,"SSB Klass API, classification 7, language=en"
7113,"Stonemasons, stone cutters, splitters and carvers","SSB Klass API, classification 7, language=en"
7114,"Concrete placers, concrete finishers and related workers","SSB Klass API, classification 7, language=en"
7115,Carpenters and joiners,"SSB Klass API, classification 7, language=en"
7119,Building frame and related trades workers not elsewhere classified,"SSB Klass API, classification 7, language=en"
7121,Roofers,"SSB Klass API, classification 7, language=en"
7122,Floor layers and tile setters,"SSB Klass API, classification 7, language=en"
7123,Plasterers,"SSB Klass API, classification 7, language=en"
7124,Insulation workers,"SSB Klass API, classification 7, language=en"
7125,Glaziers,"SSB Klass API, classification 7, language=en"
7126,Plumbers and pipe fitters,"SSB Klass API, classification 7, language=en"
7127,Air conditioning and refrigeration mechanics,"SSB Klass API, classification 7, language=en"
7131,Painters and related workers,"SSB Klass API, classification 7, language=en"
7132,Spray painters and varnishers,"SSB Klass API, classification 7, language=en"
7133,Building structure cleaners,"SSB Klass API, classification 7, language=en"
7211,Metal moulders and coremakers,"SSB Klass API, classification 7, language=en"
7212,Welders and flame cutters,"SSB Klass API, classification 7, language=en"
7213,Sheet metal workers,"SSB Klass API, classification 7, language=en"
7214,Structural metal preparers and erectors,"SSB Klass API, classification 7, language=en"
7215,Riggers and cable splicers,"SSB Klass API, classification 7, language=en"
7221,"Blacksmiths, hammersmiths and forging press workers","SSB Klass API, classification 7, language=en"
7222,Toolmakers and related workers,"SSB Klass API, classification 7, language=en"
7223,Metal working machine tool setters and operators,"SSB Klass API, classification 7, language=en"
7224,"Metal polishers, wheel grinders and tool sharpeners","SSB Klass API, classification 7, language=en"
7231,Motor vehicle mechanics and repairers,"SSB Klass API, classification 7, language=en"
7232,Aircraft engine mechanics and repairers,"SSB Klass API, classification 7, language=en"
7233,Agricultural and industrial machinery mechanics and repairers,"SSB Klass API, classification 7, language=en"
