styrk08,automation_share,n_classified,n_vintages,usage_pct_mean,passes_threshold,automation_group,directive_share,directive_group,automation_share_feb,n_feb,automation_group_feb,automation_share_handa,automation_group_handa
9214,0.3865,11006,3,0.3834,1,low,0.3332,low,0.3348,4311,low,0.1969,low
9215,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
9216,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
9311,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
9312,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
9313,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
9321,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
9329,1.0,87,3,0.0061,0,too_few,1.0,too_few,1.0,33,too_few,0.3871,mid
9331,0.4887,753,3,0.0272,1,mid,0.4675,high,0.428,257,mid,0.375,mid
9333,0.2973,407,3,0.0233,1,low,0.2973,low,0.3155,187,low,0.4667,high
9334,0.5098,914,3,0.0386,1,mid,0.4661,mid,0.4734,376,mid,0.0,low
9412,0.3268,318,3,0.0163,1,low,0.3268,low,0.228,140,low,0.2195,low
9510,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
9611,1.0,40,2,0.0062,0,too_few,1.0,too_few,1.0,21,too_few,,too_few
9612,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
9621,0.4992,1158,3,0.0419,1,mid,0.4883,high,0.4549,367,mid,0.374,mid
9622,0.253,129,2,0.0106,1,low,0.0,low,0.1754,72,too_few,0.0739,low
9623,,0,0,,0,too_few,,too_few,,0,too_few,,too_few
9629,0.6264,768,3,0.0313,1,high,0.6264,high,0.5361,336,high,0.3527,mid
