styrk08,microsoft_applicability,microsoft_user,microsoft_action,pctl_rank,quintile,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
2146,0.212559,0.297615,0.127503,72.45,4,4,1,2,
2149,0.22765,0.325174,0.130125,76.28,4,5,1,2,
2151,0.110168,0.172698,0.047638,33.42,2,1,0,0,
2152,0.294367,0.415645,0.173089,91.33,5,2,1,2,
2153,0.273936,0.396766,0.151106,89.29,5,1,1,2,
2161,0.174917,0.257484,0.092349,58.16,3,1,0,0,
2162,0.218423,0.26952,0.167326,74.23,4,1,0,0,
2163,0.23995,0.311156,0.168744,78.83,4,2,0,0,
2164,0.329808,0.417014,0.242601,96.17,5,1,0,0,
2165,0.162802,0.237583,0.088022,56.89,3,2,0,0,
2166,0.17979,0.242303,0.117278,60.97,4,2,0,0,
2211,0.147122,0.201838,0.092405,51.28,3,4,1,2,
2212,0.114826,0.167624,0.062028,38.27,2,5,1,2,
2221,0.113202,0.163031,0.063374,36.48,2,3,0,0,
2222,0.125228,0.162691,0.087766,42.6,3,1,0,0,
2223,0.113202,0.163031,0.063374,36.73,2,3,0,0,2221
2224,0.113202,0.163031,0.063374,36.99,2,3,0,0,2221
2250,0.155416,0.229913,0.080919,54.08,3,1,0,0,
2261,0.066572,0.098262,0.034882,14.8,1,4,0,0,
2262,0.278317,0.398514,0.15812,89.54,5,1,0,0,
2263,0.155971,0.19951,0.112432,54.85,3,2,0,0,
2264,0.147484,0.19199,0.102978,51.53,3,2,0,0,
2265,0.221282,0.325682,0.116882,74.74,4,1,0,0,
2266,0.143253,0.17277,0.113736,49.49,3,2,0,0,
2267,0.106292,0.143087,0.069498,30.36,2,1,0,0,SOC:29-1122
2269,0.111269,0.169144,0.053393,34.69,2,1,0,0,SOC:29-1011
2310,0.318191,0.414987,0.221394,94.64,5,35,0,0,
2320,0.18218,0.270651,0.093709,62.5,4,3,0,0,
2330,0.17639,0.25614,0.09664,59.44,3,1,0,0,
2341,0.182721,0.262537,0.102905,62.76,4,2,0,0,
2342,0.178753,0.263074,0.094432,60.71,4,2,0,0,
2351,0.313753,0.401814,0.225692,94.13,5,1,0,0,
2352,0.183012,0.252427,0.113596,63.01,4,4,0,0,
2353,0.211894,0.308197,0.115592,72.19,4,3,1,6,
