date,yrke4,alder_gr,count
2015-01-16,2641,5,203
2015-01-16,2641,6,346
2015-01-16,2641,7,245
2015-01-16,2641,8,160
2015-01-16,2641,9,12
2015-01-16,2642,1,89
2015-01-16,2642,2,432
2015-01-16,2642,3,1014
2015-01-16,2642,4,845
2015-01-16,2642,5,1382
2015-01-16,2642,6,1958
2015-01-16,2642,7,1474
2015-01-16,2642,8,879
2015-01-16,2642,9,76
2015-01-16,2643,0,5
2015-01-16,2643,1,27
2015-01-16,2643,2,120
2015-01-16,2643,3,238
2015-01-16,2643,4,275
2015-01-16,2643,5,419
2015-01-16,2643,6,522
2015-01-16,2643,7,484
2015-01-16,2643,8,205
2015-01-16,2643,9,35
2015-01-16,2651,2,11
2015-01-16,2651,3,35
2015-01-16,2651,4,37
2015-01-16,2651,5,41
2015-01-16,2651,6,20
2015-01-16,2651,7,23
2015-01-16,2651,8,7
2015-01-16,2652,1,49
2015-01-16,2652,2,73
2015-01-16,2652,3,167
2015-01-16,2652,4,230
2015-01-16,2652,5,379
2015-01-16,2652,6,628
2015-01-16,2652,7,659
2015-01-16,2652,8,349
2015-01-16,2652,9,88
2015-01-16,2653,1,34
2015-01-16,2653,2,38
2015-01-16,2653,3,81
2015-01-16,2653,4,40
2015-01-16,2653,5,63
2015-01-16,2653,6,44
