SyssGrpIKT_code,SyssGrpIKT_label,NACE2007_code,NACE2007_label,ContentsCode_code,ContentsCode_label,Tid_code,Tid_label,value
00,Alle sysselsette,47,Detaljhandel med unntak av motorvogner,Regnskap,Rekneskapsføring eller økonomistyring,2025,2025,62
00,Alle sysselsette,49-53,Transport og lagring,MforingSal,Marknadsføring eller sal,2021,2021,22
00,Alle sysselsette,49-53,Transport og lagring,MforingSal,Marknadsføring eller sal,2023,2023,12
00,Alle sysselsette,49-53,Transport og lagring,MforingSal,Marknadsføring eller sal,2024,2024,19
00,Alle sysselsette,49-53,Transport og lagring,MforingSal,Marknadsføring eller sal,2025,2025,24
00,Alle sysselsette,49-53,Transport og lagring,ProdProsess,Produksjonsprosessar,2021,2021,20
00,Alle sysselsette,49-53,Transport og lagring,ProdProsess,Produksjonsprosessar,2023,2023,6
00,Alle sysselsette,49-53,Transport og lagring,ProdProsess,Produksjonsprosessar,2024,2024,6
00,Alle sysselsette,49-53,Transport og lagring,ProdProsess,Produksjonsprosessar,2025,2025,13
00,Alle sysselsette,49-53,Transport og lagring,OrgAdmProsess,Organisering av administrasjonsprosessar,2021,2021,46
00,Alle sysselsette,49-53,Transport og lagring,StyringForetak,Styring av føretak,2021,2021,32
00,Alle sysselsette,49-53,Transport og lagring,Logistikk,Logistikk,2021,2021,28
00,Alle sysselsette,49-53,Transport og lagring,Logistikk,Logistikk,2023,2023,32
00,Alle sysselsette,49-53,Transport og lagring,Logistikk,Logistikk,2024,2024,19
00,Alle sysselsette,49-53,Transport og lagring,Logistikk,Logistikk,2025,2025,14
00,Alle sysselsette,49-53,Transport og lagring,IKTtryggleik,IKT-tryggleik,2021,2021,15
00,Alle sysselsette,49-53,Transport og lagring,IKTtryggleik,IKT-tryggleik,2023,2023,41
00,Alle sysselsette,49-53,Transport og lagring,IKTtryggleik,IKT-tryggleik,2024,2024,12
00,Alle sysselsette,49-53,Transport og lagring,IKTtryggleik,IKT-tryggleik,2025,2025,27
00,Alle sysselsette,49-53,Transport og lagring,HRrekrutt,HR eller rekruttering,2021,2021,0
00,Alle sysselsette,49-53,Transport og lagring,AdminProsess,Organisering av administrasjonsprosessar eller styring av føretak,2023,2023,26
