styrk08,rank,neighbour,similarity,n_soc,n_soc_neighbour,shared_elements
2120,3,2111,0.8404,5,2,Mathematics; Science; Analyzing Data or Information
2120,4,2633,0.7988,5,3,Analyzing Data or Information; Interpreting the Meaning of Information for Others; Processing Information
2120,5,2632,0.7885,5,3,Analyzing Data or Information; Interpreting the Meaning of Information for Others; Processing Information
2131,1,2114,0.9033,9,2,Science; Mathematics; Analyzing Data or Information
2131,2,2146,0.9002,9,4,Science; Mathematics; Complex Problem Solving
2131,3,2133,0.8848,9,2,Science; Analyzing Data or Information; Interpreting the Meaning of Information for Others
2131,4,1223,0.8807,9,2,"Science; Mathematics; Estimating the Quantifiable Characteristics of Products, Events, or Information"
2131,5,2132,0.8627,9,3,Science; Systems Analysis; Complex Problem Solving
2132,1,2133,0.8993,3,2,Science; Systems Evaluation; Systems Analysis
2132,2,2131,0.8627,3,9,Science; Systems Analysis; Complex Problem Solving
2132,3,1223,0.8451,3,2,Science; Systems Analysis; Systems Evaluation
2132,4,2263,0.8333,3,2,Scheduling Work and Activities; Systems Evaluation; Systems Analysis
2132,5,1112,0.8164,3,3,Systems Evaluation; Systems Analysis; Monitoring and Controlling Resources
2133,1,2132,0.8993,2,3,Science; Systems Evaluation; Systems Analysis
2133,2,2131,0.8848,2,9,Science; Analyzing Data or Information; Interpreting the Meaning of Information for Others
2133,3,2421,0.8586,2,2,Systems Analysis; Systems Evaluation; Analyzing Data or Information
2133,4,2164,0.8509,2,1,Systems Analysis; Communicating with People Outside the Organization; Developing Objectives and Strategies
2133,5,1223,0.8401,2,2,"Science; Analyzing Data or Information; Estimating the Quantifiable Characteristics of Products, Events, or Information"
2141,1,2144,0.941,1,4,Technology Design; Mathematics; Science
2141,2,2149,0.9384,1,5,Technology Design; Science; Mathematics
2141,3,2146,0.9156,1,4,Technology Design; Science; Mathematics
2141,4,2145,0.8848,1,1,Technology Design; Science; Mathematics
2141,5,2511,0.8372,1,2,Technology Design; Systems Evaluation; Operations Analysis
2142,1,1223,0.8771,1,2,"Mathematics; Science; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
2142,2,2161,0.8698,1,1,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Operations Analysis; Mathematics"
2142,3,2146,0.8574,1,4,Mathematics; Science; Technology Design
2142,4,2162,0.8423,1,1,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Operations Analysis; Time Management"
2142,5,2149,0.8354,1,5,Technology Design; Mathematics; Science
2143,1,1223,0.8843,1,2,"Science; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Mathematics"
2143,2,2131,0.825,1,9,Science; Mathematics; Complex Problem Solving
2143,3,2161,0.8223,1,1,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Mathematics; Science"
2143,4,2146,0.8176,1,4,"Science; Mathematics; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment"
2143,5,2132,0.8097,1,3,Science; Providing Consultation and Advice to Others; Complex Problem Solving
2144,1,2149,0.9558,4,5,Technology Design; Science; Mathematics
2144,2,2141,0.941,4,1,Technology Design; Mathematics; Science
2144,3,2146,0.9008,4,4,Technology Design; Science; Mathematics
2144,4,2145,0.9,4,1,Technology Design; Science; Mathematics
2144,5,2152,0.8651,4,2,"Technology Design; Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment; Operations Analysis"
2145,1,2149,0.9166,1,5,Technology Design; Science; Operations Analysis
2145,2,2146,0.913,1,4,Science; Mathematics; Technology Design
2145,3,2144,0.9,1,4,Technology Design; Science; Mathematics
2145,4,2141,0.8848,1,1,Technology Design; Science; Mathematics
2145,5,2511,0.8296,1,2,Technology Design; Programming; Systems Analysis
2146,1,2149,0.9382,4,5,Science; Technology Design; Mathematics
2146,2,2141,0.9156,4,1,Technology Design; Science; Mathematics
2146,3,1223,0.9134,4,2,Science; Mathematics; Complex Problem Solving
