styrk08,aioe,pctl_aioe,q_aioe,aioe_lm,pctl_aioe_lm,q_aioe_lm,aioe_ig,pctl_aioe_ig,q_aioe_ig,n_soc_matched,has_partial_match,max_partial_fanout,manual_map
7323,-0.906209,22.45,2,-0.913929,22.96,2,-0.724361,22.96,2,1,0,0,
7411,-0.86193,23.72,2,-0.976706,19.9,1,-0.228294,42.86,3,2,1,2,
7412,-0.760639,28.06,2,-0.843181,25.77,2,-0.360855,38.52,2,13,1,11,
7413,-0.550957,35.2,2,-0.616631,32.65,2,-0.289761,40.31,3,2,1,11,
7421,-0.453807,38.27,2,-0.569498,34.18,2,-0.029695,49.74,3,7,1,11,
7422,-0.619783,31.63,2,-0.706401,30.61,2,-0.194901,43.37,3,7,1,11,
7511,-1.167537,10.2,1,-1.083877,14.54,1,-1.332587,7.14,1,4,1,2,
7512,-0.385299,39.29,2,-0.474294,37.24,2,-0.053733,48.21,3,1,0,0,
7513,-0.658513,30.61,2,-0.737591,29.59,2,-0.616364,28.83,2,2,1,2,
7514,-0.555989,34.95,2,-0.618534,32.4,2,-0.732521,22.45,2,1,1,2,
7515,-0.600241,32.91,2,-0.520246,35.71,2,-0.840975,18.11,1,2,1,3,
7522,-1.07775,14.29,1,-1.143812,11.99,1,-0.681385,24.49,2,4,0,0,
7531,-0.430527,39.03,2,-0.606538,32.91,2,0.131775,55.61,3,1,0,0,
7532,-0.684681,30.1,2,-0.79833,26.79,2,-0.276366,40.82,3,3,1,2,
7534,-1.313735,7.65,1,-1.405178,3.32,1,-0.548988,31.12,2,1,0,0,
7535,-1.370968,6.12,1,-1.03238,17.09,1,-2.188827,0.51,1,1,1,3,
7536,-0.990912,18.11,1,-1.006982,18.88,1,-0.958066,14.29,1,1,1,3,
7541,-1.102728,12.5,1,-1.08214,15.05,1,-0.783006,20.41,2,1,0,0,
7542,-0.773027,26.53,2,-0.95474,20.92,2,-0.169439,44.64,3,1,0,0,
