date,sector,age_group,ai_q,variable,value,value_index
2025-02-16,1,1,all,stillingspst,66.97185266948509,1.021355590250858
2025-03-16,1,1,all,stillingspst,67.05131402928421,1.0225674173215573
2025-04-16,1,1,all,stillingspst,67.42582051929979,1.0282788361029722
2025-05-16,1,1,all,stillingspst,66.38663605471838,1.0124307324609823
2025-06-16,1,1,all,stillingspst,67.37640369400084,1.0275252038117972
2025-07-16,1,1,all,stillingspst,66.22438266981324,1.009956283941127
2025-08-16,1,1,all,stillingspst,73.0518610177182,1.1140788802259196
2025-09-16,1,1,all,stillingspst,68.41357405593807,1.0433425913407786
2025-10-16,1,1,all,stillingspst,66.86333032061593,1.019700567980059
2025-11-16,1,1,all,stillingspst,67.29013337963791,1.0262095366421562
2025-12-16,1,1,all,stillingspst,67.66676770867666,1.0319534060755216
2026-01-16,1,1,all,stillingspst,67.4947552590631,1.0293301267424473
2026-02-16,1,1,all,stillingspst,67.0137712227929,1.021994869993759
2021-01-16,1,1,1,timelonn,8331.686471187284,0.9018538318296642
2021-02-16,1,1,1,timelonn,8311.2727110438,0.8996441678113266
2021-03-16,1,1,1,timelonn,8680.752979771154,0.9396381350938873
2021-04-16,1,1,1,timelonn,8680.498110437504,0.9396105470556236
2021-05-16,1,1,1,timelonn,8385.36166599594,0.9076638416373775
2021-06-16,1,1,1,timelonn,8614.870591949246,0.9325067717003235
2021-07-16,1,1,1,timelonn,9018.872055226775,0.976237446033981
2021-08-16,1,1,1,timelonn,11877.161629077023,1.2856297177631268
2021-09-16,1,1,1,timelonn,9733.53871893944,1.0535957181412057
2021-10-16,1,1,1,timelonn,8622.313420326254,0.9333124121087412
2021-11-16,1,1,1,timelonn,8801.929312148972,0.9527547280021688
2021-12-16,1,1,1,timelonn,9414.638626330243,1.0190767439233177
2022-01-16,1,1,1,timelonn,9311.175997461722,1.0078775505044433
2022-02-16,1,1,1,timelonn,9129.122764970403,0.9881714074700096
2022-03-16,1,1,1,timelonn,8761.063094308363,0.9483312111932499
2022-04-16,1,1,1,timelonn,9208.953524761117,0.9968125963654517
2022-05-16,1,1,1,timelonn,8690.41350994814,0.9406838280862664
2022-06-16,1,1,1,timelonn,8548.025148175224,0.9252711634214433
2022-07-16,1,1,1,timelonn,9580.13166572014,1.036990347877458
2022-08-16,1,1,1,timelonn,11708.257009228679,1.2673468312009954
2022-09-16,1,1,1,timelonn,9988.880940620498,1.0812349436266249
2022-10-16,1,1,1,timelonn,9238.40003460884,1.0
2022-11-16,1,1,1,timelonn,9043.737507585858,0.9789289783627318
2022-12-16,1,1,1,timelonn,9946.110430012042,1.0766052988344283
2023-01-16,1,1,1,timelonn,9235.406638288974,0.9996759832537396
2023-02-16,1,1,1,timelonn,9087.473527219548,0.983663133570327
2023-03-16,1,1,1,timelonn,8788.023481816008,0.9512495073707965
2023-04-16,1,1,1,timelonn,9263.637257045059,1.0027317741537145
2023-05-16,1,1,1,timelonn,8420.151962370202,0.911429677306317
2023-06-16,1,1,1,timelonn,9190.472149291636,0.9948121011065059
2023-07-16,1,1,1,timelonn,10625.39190111299,1.1501333414128214
2023-08-16,1,1,1,timelonn,13693.56834999961,1.482244576842402
2023-09-16,1,1,1,timelonn,11634.949767670581,1.2594117730433627
2023-10-16,1,1,1,timelonn,10063.537064594959,1.0893160100120145
2023-11-16,1,1,1,timelonn,10735.242633584643,1.1620240077684816
2023-12-16,1,1,1,timelonn,10340.638900882102,1.1193105799861516
2024-01-16,1,1,1,timelonn,9791.390891478155,1.0598578601053974
2024-02-16,1,1,1,timelonn,9373.402107308553,1.0146131442884017
2024-03-16,1,1,1,timelonn,9798.791469780606,1.0606589272030256
2024-04-16,1,1,1,timelonn,9625.838219473722,1.0419378012873943
2024-05-16,1,1,1,timelonn,9721.923077976502,1.0523383964275514
