date,occ_group,age_group,count,percap,emp_index
2025-05-16,Home health aides,2,3207.0,0.004072479209022186,1.2978221232580573
2025-06-16,Home health aides,2,3394.0,0.004309945255822045,1.373498062468926
2025-07-16,Home health aides,2,3280.0,0.004158267726517831,1.325161301732118
2025-08-16,Home health aides,2,3221.0,0.00408346961802254,1.3013245588046194
2025-09-16,Home health aides,2,3182.0,0.004034026800542603,1.285568067716951
2025-10-16,Home health aides,2,3229.0,0.00408683997028213,1.3023986263446028
2025-11-16,Home health aides,2,3301.0,0.004177968021647975,1.331439413305523
2025-12-16,Home health aides,2,3387.0,0.004286815416334956,1.3661270199532887
2026-01-16,Home health aides,2,3412.0,0.00431141235399071,1.3739655989160284
2026-02-16,Home health aides,2,3298.0,0.004167361648142251,1.3280593626099244
2021-01-16,Home health aides,3,1360.0,0.0018802423853639721,0.7644183843308074
2021-02-16,Home health aides,3,1335.0,0.001845679106221252,0.7503665757953146
2021-03-16,Home health aides,3,1315.0,0.0018180284829070758,0.7391251289669203
2021-04-16,Home health aides,3,1365.0,0.001889500881074953,0.7681824545314436
2021-05-16,Home health aides,3,1367.0,0.0018922693805344035,0.7693079965893651
2021-06-16,Home health aides,3,1455.0,0.0020140833567502247,0.8188318471379125
2021-07-16,Home health aides,3,1413.0,0.0019584362447920564,0.7962083408565644
2021-08-16,Home health aides,3,1441.0,0.0019972446063307525,0.8119860008310753
2021-09-16,Home health aides,3,1488.0,0.0020623872131992783,0.8384699300740043
2021-10-16,Home health aides,3,1533.0,0.0021274676473649516,0.8649285828113966
2021-11-16,Home health aides,3,1542.0,0.0021399576726919473,0.8700064414188998
2021-12-16,Home health aides,3,1541.0,0.002138569892100059,0.8694422349069552
2022-01-16,Home health aides,3,1533.0,0.002129015861376486,0.8655580140286203
2022-02-16,Home health aides,3,1514.0,0.0021026288415681668,0.8548302891319838
2022-03-16,Home health aides,3,1570.0,0.002180401110476897,0.8864488467220705
2022-04-16,Home health aides,3,1607.0,0.0022322451774752987,0.907526213257654
2022-05-16,Home health aides,3,1606.0,0.0022308561014470004,0.9069614800820114
2022-06-16,Home health aides,3,1720.0,0.0023892107686730017,0.9713410621052675
2022-07-16,Home health aides,3,1680.0,0.0023341437999305314,0.9489534148509664
2022-08-16,Home health aides,3,1725.0,0.002396665508857242,0.9743718098916173
2022-09-16,Home health aides,3,1702.0,0.0023647099687391453,0.9613801857597291
2022-10-16,Home health aides,3,1770.0,0.002459703251394179,1.0
2022-11-16,Home health aides,3,1850.0,0.0025708762797057804,1.0451977401129944
2022-12-16,Home health aides,3,1887.0,0.002622293805299896,1.0661016949152542
2023-01-16,Home health aides,3,1803.0,0.0025050434318678204,1.0184331912591253
2023-02-16,Home health aides,3,1814.0,0.0025203265587400033,1.0246465939789535
2023-03-16,Home health aides,3,1809.0,0.002513379682889011,1.0218223200153953
2023-04-16,Home health aides,3,1788.0,0.002482702313162071,1.0093503400277477
2023-05-16,Home health aides,3,1876.0,0.002604893478463113,1.059027537970948
2023-06-16,Home health aides,3,1987.0,0.0027590209710587447,1.121688549012939
2023-07-16,Home health aides,3,1932.0,0.0026809949099951707,1.0899668114336807
2023-08-16,Home health aides,3,1939.0,0.0026907086596690663,1.093915966547571
2023-09-16,Home health aides,3,1936.0,0.0026865456240945398,1.0922234714987609
2023-10-16,Home health aides,3,1951.0,0.002705682487952016,1.100003622964849
2023-11-16,Home health aides,3,2003.0,0.002777797039142946,1.1293220178362853
2023-12-16,Home health aides,3,2042.0,0.002831882952536144,1.1513108139898627
2024-01-16,Home health aides,3,2026.0,0.002807976538288825,1.1415915869921471
2024-02-16,Home health aides,3,1968.0,0.002727590240549066,1.1089102878581172
2024-03-16,Home health aides,3,1956.0,0.00271095859274084,1.1021486397614215
2024-04-16,Home health aides,3,2008.0,0.0027813560495879215,1.1307689445917621
2024-05-16,Home health aides,3,2010.0,0.0027841263245377106,1.1318952084807978
2024-06-16,Home health aides,3,2133.0,0.0029544982339497197,1.2011604376564884
2024-07-16,Home health aides,3,2201.0,0.0030467969180424086,1.2386847544781918
2024-08-16,Home health aides,3,2084.0,0.0028848363367561924,1.1728391768889375
2024-09-16,Home health aides,3,2116.0,0.0029291332478772088,1.1908482237509557
2024-10-16,Home health aides,3,2167.0,0.002997884741223198,1.2187993570053515
2024-11-16,Home health aides,3,2157.0,0.002984050478457978,1.2131749944903292
2024-12-16,Home health aides,3,2186.0,0.003024169840477116,1.229485645783894
2025-01-16,Home health aides,3,2230.0,0.0030837991298984695,1.2537281186868976
2025-02-16,Home health aides,3,2234.0,0.0030893306081583773,1.2559769583616724
2025-03-16,Home health aides,3,2261.0,0.0031266680864127532,1.2711566261664018
2025-04-16,Home health aides,3,2286.0,0.00316061918271863,1.2849595498673128
2025-05-16,Home health aides,3,2349.0,0.0032477228609825294,1.3203718209266482
2025-06-16,Home health aides,3,2462.0,0.0034039564426304758,1.3838890690172023
2025-07-16,Home health aides,3,2374.0,0.003281629922272093,1.3341568420548453
2025-08-16,Home health aides,3,2328.0,0.0032180431588245298,1.3083054457892502
2025-09-16,Home health aides,3,2324.0,0.0032125138750464803,1.306057498287894
2025-10-16,Home health aides,3,2350.0,0.0032478032411694304,1.3204044997414017
2025-11-16,Home health aides,3,2400.0,0.0033169054377900566,1.3484982125018572
2025-12-16,Home health aides,3,2460.0,0.003399828073734808,1.3822106678144035
2026-01-16,Home health aides,3,2465.0,0.0034060604385734617,1.3847444551056636
2026-02-16,Home health aides,3,2467.0,0.003408823976454657,1.3858679800185283
2021-01-16,Home health aides,4,1123.0,0.0015965833400864685,0.7908813814538254
2021-02-16,Home health aides,4,1121.0,0.0015937399147256735,0.7894728660816904
2021-03-16,Home health aides,4,1098.0,0.0015610405230765294,0.7732749393021375
2021-04-16,Home health aides,4,1133.0,0.001604924980735234,0.7950134853748959
2021-05-16,Home health aides,4,1152.0,0.0016318389918861338,0.8083455738321977
2021-06-16,Home health aides,4,1218.0,0.0017253297674629437,0.8546570389996675
2021-07-16,Home health aides,4,1219.0,0.0017203323811996883,0.8521815404445293
2021-08-16,Home health aides,4,1205.0,0.001700574667223646,0.8423943857552566
2021-09-16,Home health aides,4,1250.0,0.0017640816050037821,0.8738530972564903
2021-10-16,Home health aides,4,1287.0,0.0018095793817621956,0.8963908149141372
2021-11-16,Home health aides,4,1304.0,0.0018334821397186505,0.9082312530287763
2021-12-16,Home health aides,4,1300.0,0.0018278579613759552,0.9054452675900376
2022-01-16,Home health aides,4,1305.0,0.001827444434486467,0.9052404234648265
2022-02-16,Home health aides,4,1295.0,0.0018134410288582184,0.8983037152390424
2022-03-16,Home health aides,4,1343.0,0.0018806573758738125,0.9315999147228061
2022-04-16,Home health aides,4,1352.0,0.0018849221563397936,0.9337125106530315
2022-05-16,Home health aides,4,1337.0,0.0018640095584514082,0.9233532742182715
2022-06-16,Home health aides,4,1435.0,0.002000638531322192,0.9910336189253699
2022-07-16,Home health aides,4,1405.0,0.0019500455241944438,0.9659719347874598
