date,sector,age_group,ai_q,fte,percap,fte_index
2022-01-16,1,3,all,21131533.1514125,29.34727283402495,1.0017355485395274
2022-02-16,1,3,all,21172130.946693547,29.403654667091008,1.003660077840547
2022-03-16,1,3,all,21075411.832570158,29.269332078658536,0.9990751301159103
2022-04-16,1,3,all,21210010.253645692,29.462316803299462,1.005662442677839
2022-05-16,1,3,all,21080938.32895556,29.283026086786084,0.999542559400428
2022-06-16,1,3,all,21132644.653312493,29.35485010246171,1.0019941899198308
2022-07-16,1,3,all,21027398.98073957,29.214864856880265,0.9972159538785115
2022-08-16,1,3,all,21014355.19638684,29.196742197133506,0.9965973576428379
2022-09-16,1,3,all,21079904.92778701,29.28781511328518,0.9997060273353934
2022-10-16,1,3,all,21081679.905321054,29.296427462129678,1.0
2022-11-16,1,3,all,21121902.152663592,29.35232282516178,1.001907924203535
2022-12-16,1,3,all,21223288.83154185,29.49321612667868,1.0067171556942696
2023-01-16,1,3,all,20999605.084996898,29.176329889067976,0.9959006068839982
2023-02-16,1,3,all,21117379.06848901,29.339962137427282,1.001486006283663
2023-03-16,1,3,all,21015411.573868904,29.19829103223476,0.9966502253552323
2023-04-16,1,3,all,21138642.497600436,29.351765450726322,1.0018888988655077
2023-05-16,1,3,all,21080790.612418935,29.271436027258257,0.9991469459918372
2023-06-16,1,3,all,21072172.02844692,29.259468813408425,0.9987384588523966
2023-07-16,1,3,all,21007249.528377652,29.151309036531543,0.9950465487375304
2023-08-16,1,3,all,21012637.77812179,29.15878619498797,0.9953017729783049
2023-09-16,1,3,all,21058340.50987871,29.22220689437367,0.997466565919959
2023-10-16,1,3,all,21074800.329387467,29.226918599850872,0.9976273945903931
2023-11-16,1,3,all,21102080.9262375,29.264751830582814,0.9989187885933256
2023-12-16,1,3,all,21250879.657226853,29.471108632565063,1.0059625417010722
2024-01-16,1,3,all,21001578.062002804,29.10757081201637,0.9935535945344381
2024-02-16,1,3,all,21044346.045351483,29.166845981726645,0.9955768845682451
2024-03-16,1,3,all,21096810.61661763,29.239560337702326,0.9980589058341376
2024-04-16,1,3,all,21037040.86572803,29.139193664004477,0.9946330043713196
2024-05-16,1,3,all,21059546.664629567,29.170367289465432,0.9956970803751687
2024-06-16,1,3,all,21029816.79304502,29.129187330209877,0.9942914496268876
2024-07-16,1,3,all,20973838.864448998,29.033633626406772,0.9910298333794245
2024-08-16,1,3,all,21036178.857330434,29.119929536530325,0.9939754454420251
2024-09-16,1,3,all,21080690.974375527,29.181546701922663,0.9960786768162938
2024-10-16,1,3,all,21058097.605484508,29.13232556099251,0.9943985695406276
2024-11-16,1,3,all,21116980.353700623,29.21378550210851,0.9971791113394971
2024-12-16,1,3,all,21247762.760683164,29.394713320434956,1.003354875212424
2025-01-16,1,3,all,21002382.331553392,29.043555318313608,0.9913684989699529
2025-02-16,1,3,all,21080020.148176525,29.150918292012996,0.9950332111208858
2025-03-16,1,3,all,21032416.218508977,29.085088266502442,0.9927861785912148
2025-04-16,1,3,all,21086874.718961425,29.154672239866144,0.9951613478316844
2025-05-16,1,3,all,20991206.50654546,29.022401554241345,0.9906464394594681
2025-06-16,1,3,all,21061063.40999091,29.118985573959193,0.9939432243607226
2025-07-16,1,3,all,20908943.403384462,28.90287039411969,0.9865663802004964
2025-08-16,1,3,all,20917006.188973635,28.914015751510718,0.9869468142109379
2025-09-16,1,3,all,20889163.480495133,28.875528192428934,0.9856330854591461
2025-10-16,1,3,all,20762849.465332557,28.695170123157467,0.9794767693177118
2025-11-16,1,3,all,21001491.661561158,29.024984122472805,0.9907345924683904
2025-12-16,1,3,all,21064098.26577992,29.1115091999623,0.9936880268965759
2026-01-16,1,3,all,20860635.154024042,28.82457773697205,0.9838939500125887
2026-02-16,1,3,all,20902335.313367747,28.882197721971156,0.9858607422118625
2021-01-16,1,4,1,3229544.876566493,4.591484902927581,1.0278373624350399
2021-02-16,1,4,1,3233148.217451159,4.596607818355105,1.0289841643939543
2021-03-16,1,4,1,3223083.922410866,4.5822992824770585,1.0257810943440406
2021-04-16,1,4,1,3230236.8851842103,4.575717449889242,1.0243077031448806
2021-05-16,1,4,1,3243020.071565405,4.593825177300164,1.028361249911389
2021-06-16,1,4,1,3238849.2451404487,4.587917089462809,1.0270386813854835
2021-07-16,1,4,1,3237481.3052577646,4.568944973719086,1.02279163499023
2021-08-16,1,4,1,3239924.9027450876,4.572393538021021,1.0235636212454888
2021-09-16,1,4,1,3239364.435155762,4.571602569569397,1.0233865571922958
2021-10-16,1,4,1,3238448.238883571,4.553402612267136,1.0193123640923558
2021-11-16,1,4,1,3238958.130447829,4.554119542540342,1.0194728541596523
2021-12-16,1,4,1,3253469.4257684546,4.574523070757021,1.0240403326704122
2022-01-16,1,4,1,3231067.7092505093,4.524595174497151,1.012863609172758
