date,sector,age_group,ai_q,employment,percap,emp_index
2023-03-16,1,3,4,43356.0,0.06023774987912436,0.9888002321106804
2023-04-16,1,3,4,43359.0,0.060205531094180226,0.9882713620566859
2023-05-16,1,3,4,43375.0,0.06022774766968951,0.9886360462466559
2023-06-16,1,3,4,42033.0,0.058364332398848626,0.9580481598129265
2023-07-16,1,3,4,43640.0,0.06055829082411452,0.9940618987805553
2023-08-16,1,3,4,43309.0,0.06009896923239175,0.9865221533979622
2023-09-16,1,3,4,43525.0,0.06039870779375767,0.9914423497805608
2023-10-16,1,3,4,43544.0,0.06038761571265125,0.9912602737170519
2023-11-16,1,3,4,43612.0,0.06048191935651631,0.9928082642234997
2023-12-16,1,3,4,43724.0,0.060637243005235236,0.9953578956458842
2024-01-16,1,3,4,43204.0,0.05987947599221639,0.9829191807227273
2024-02-16,1,3,4,43288.0,0.05999589752687397,0.9848302355135038
2024-03-16,1,3,4,43254.0,0.05994877452475066,0.9840567133362847
2024-04-16,1,3,4,43139.0,0.0597534455294688,0.9808503957653227
2024-05-16,1,3,4,43060.0,0.05964401966895214,0.9790541746831126
2024-06-16,1,3,4,41923.0,0.05806911835999723,0.9532022332847221
2024-07-16,1,3,4,43088.0,0.059645790824448576,0.9790832481290745
2024-08-16,1,3,4,43195.0,0.05979390862100947,0.981514595779228
2024-09-16,1,3,4,43107.0,0.05967209211542668,0.979514982758541
2024-10-16,1,3,4,43588.0,0.060300784541041416,0.9898349435409659
2024-11-16,1,3,4,43584.0,0.06029525083593533,0.989744107995078
2024-12-16,1,3,4,43286.0,0.05988298980553177,0.9829768598264258
2025-01-16,1,3,4,42715.0,0.05906927346798795,0.9696197390001976
2025-02-16,1,3,4,43037.0,0.05951455746791051,0.9769290578801709
2025-03-16,1,3,4,42885.0,0.059304361294034026,0.9734786961728544
2025-04-16,1,3,4,42794.0,0.059166901708338174,0.9712223026237156
2025-05-16,1,3,4,42661.0,0.058983016165336605,0.9682038288598945
2025-06-16,1,3,4,41597.0,0.05751193182132409,0.9440560387493269
2025-07-16,1,3,4,42639.0,0.05894078275305804,0.9675105691025551
2025-08-16,1,3,4,42241.0,0.05839061901714216,0.9584796535908682
2025-09-16,1,3,4,42486.0,0.058729287648547665,0.9640388855013288
2025-10-16,1,3,4,42367.0,0.058553055284521385,0.9611460383613829
2025-11-16,1,3,4,42621.0,0.05890409444335416,0.9669083319800906
2025-12-16,1,3,4,42864.0,0.05923993111893041,0.9724210774499568
2026-01-16,1,3,4,42329.0,0.058488897486562295,0.9600928906983152
2026-02-16,1,3,4,42521.0,0.05875419712315707,0.964447773521299
2026-03-16,1,3,4,42498.0,0.058722416437523316,0.9639260948497956
2026-04-16,1,3,4,42402.0,0.05857827290661627,0.9615599846098855
2021-01-16,1,3,5,42494.0,0.058749279355629874,0.9832981968421618
2021-02-16,1,3,5,42626.0,0.058931773469503436,0.9863526365744337
