styrk08,navn,navn_en,kortnavn,antall_personer,antall_menn,antall_kvinner,antall_privat,antall_offentlig,antall_13,antall_40,antall_710,kildedato
7514,"Saftere, syltere mv. (gårdsproduksjon)",,"Safter, sylter (gårdsproduksjon)",5,0,0,5,0,0,0,0,2024-11-01
7515,Prøvesmakere og kvalitetsbedømmere av mat og drikke,,"Kvalitetsbedømmer, mat/drikke",93,51,42,93,0,3,21,7,2024-11-01
7531,"Skreddere, buntmakere mv.",,"Skredder, buntmaker",497,84,413,289,208,48,157,68,2024-11-01
7532,Gradører,,Gradør,50,19,31,0,0,3,19,4,2024-11-01
7534,Møbeltapetserere mv.,,Møbeltapetserer,302,191,111,293,9,12,83,41,2024-11-01
7535,Skinnberedere og garvere,,Skinnbereder eller garver,78,22,56,71,7,8,27,7,2024-11-01
7536,Skomakere,,Skomaker,40,26,14,37,3,3,13,11,2024-11-01
7541,Yrkesdykkere,,Yrkesdykker,437,422,15,0,0,47,270,92,2024-11-01
7542,Skytebaser og sprengningsarbeidere,,Skytebas eller sprengningsarbeider,1552,1518,34,0,0,290,953,310,2024-11-01
7543,Produkttestere (ikke matprodukter),,Produkttester (ikke matprodukter),31,21,10,0,0,6,15,4,2024-11-01
7544,Desinfeksjonsarbeidere og skadedyrbekjempere,,Desinfeksjonsarbeider eller skadedyrbekjemper,419,370,49,419,0,18,172,58,2024-11-01
8111,Bergfagarbeidere,,Bergfagarbeider,664,623,41,661,3,68,350,128,2024-11-01
8112,Prosessoperatører (oppredning),,Prosessoperatør (oppredning),208,180,28,208,0,23,93,32,2024-11-01
8113,Operatører innen boring mv.,,Boreoperatør,12405,11182,1223,0,0,1301,5929,2389,2024-11-01
8114,Operatører innen produksjon av betong mv.,,Operatør innen produksjon av betong,1873,1787,86,1873,0,157,808,284,2024-11-01
8121,Operatører innen metallurgiske prosessfag,,Operatør innen metallurgiske prosessfag,7493,6438,1055,7490,3,850,3371,1204,2024-11-01
8131,Operatører innen kjemisk industri,,Operatør i kjemisk industri,9280,7608,1672,9257,23,1099,4766,1802,2024-11-01
8132,Operatører innen produksjon av fotofilm og -papir mv.,,Operatør i produksjon av fotofilm eller -papir,38,26,12,0,0,6,24,10,2024-11-01
8141,Operatører innen produksjon av gummiprodukter,,"Operatør, produksjon av gummiprodukt",274,260,14,274,0,20,98,43,2024-11-01
8142,Operatører innen plastprodukter,,"Operatør, plastprodukt",2250,1889,361,2250,0,250,921,360,2024-11-01
8143,Operatører innen papirprodukter,,"Operatør, papir",594,461,133,594,0,36,254,92,2024-11-01
8151,Spinne- og nøstemaskinoperatører,,Spinne- eller nøstemaskinoperatør,136,51,85,0,0,9,60,15,2024-11-01
8152,Operatører innen tekstilproduksjon mv.,,Operatør i tekstilproduksjon,856,452,404,0,0,66,354,111,2024-11-01
8153,Industrisyere,,Industrisyer,708,149,559,0,0,47,196,63,2024-11-01
