nus_kode,nus_kode_forelder,nus_niva,nus_aktiv,nus_navn_nb,nus_kortnavn_nb,nus_navn_en,isced2013_kode,isced2013_navn
725799,7257,5,True,"Videreutdanning for lærere, helse-, sosial- og idrettsfag, uspesifisert, høyere nivå",,"Supplementary education for teachers, health, welfare and sport, unspecified, graduate level",0114,Teacher training with subject specialisation
7258,725,4,True,"Videreutdanninger for lærere, primærnæringsfag",,"Supplementary education for teachers, primary industries",,
725899,7258,5,True,"Videreutdanning for lærere,  primærnæringsfag, uspesifisert, høyere nivå",,"Supplementary education for teachers, primary industries, unspecified, graduate level",0114,Teacher training with subject specialisation
7259,725,4,True,"Videreutdanninger for lærere, andre",,"Supplementary education for teachers, other",,
725999,7259,5,True,"Videreutdanning for lærere, annen, uspesifisert, høyere nivå",Videreutdanning for lærere,"Supplementary education for teachers, other, unspecified, graduate level",0111,Education science
729,72,3,True,"Lærerutdanninger og utdanninger i pedagogikk, andre",,"Teacher training and pedagogy, other",,
7299,729,4,True,"Lærerutdanninger og utdanninger i pedagogikk, andre",,"Teacher training and pedagogy, other",,
729902,7299,5,True,"Master of Philosophy, undervisningsfag",Lærerutdanning,"Master of Philosophy, school subjects",0111,Education science
729903,7299,5,True,"Master of Education, ettårig",Utdanningsvitenskap,"Master of Education, one-year",0111,Education science
729904,7299,5,True,"Master, higher education, toårig",Studier av høyere utdanning,"Master degree, higher education, two-year",0111,Education science
729905,7299,5,True,"Master, lektorutdanning, med rådgiving, femårig",Lektorutdanning med rådgiving,"Master degree, upper secondary teacher training, with advising, five-year",0114,Teacher training with subject specialisation
729906,7299,5,True,"Master, utdanningsvitenskapelige fag, toårig",Utdanningsvitenskap,"Master degree, education science, two-year",0111,Education science
729907,7299,5,True,"Master, læring og undervisning, toårig",Læring og undervisning,"Master degree, teaching and education science, two-year",0111,Education science
729908,7299,5,True,"Master, fagdidaktikk, uspesifisert, toårig",,"Master degree, subject didactics, unspecified, two years",0111,Education science
729999,7299,5,True,"Lærerutdanning og utdanning i pedagogikk, annen, uspesifisert, høyere nivå",Lærerutdanning,"Teacher training and pedagogy, other, unspecified, graduate level",0111,Education science
73,7,2,True,Samfunnsfag og juridiske fag,,Social sciences and law,,
731,73,3,True,Statsvitenskapelige fag,,Political science,,
7311,731,4,True,Statsvitenskapelige fag,,Political science,,
731108,7311,5,True,"Master, offentlig administrasjon, toårig",Offentlig administrasjon og ledelse,"Master degree, public administration, two-year",0413,Management and administration
731109,7311,5,True,"Master, samfunnsplanlegging, toårig",Samfunnsplanlegging,"Master degree, social planning, two-year",0312,Political sciences and civics
731110,7311,5,True,"Samfunnsplanlegging, toårig videreutdanning",Samfunnsplanlegging (videreutdanning),"Social planning, two years of supplementary education",0314,Sociology and cultural studies
731111,7311,5,True,"Master, administrasjon og organisasjonsvitenskap, toårig",Administrasjons- og organisasjonsvitenskap,"Master degree, administration and organization science, two-year",0312,Political sciences and civics
731112,7311,5,True,"Master, statsvitenskap, toårig",Statsvitenskap,"Master degree, political science, two-year",0312,Political sciences and civics
731114,7311,5,True,"Master, sammenliknende politikk, toårig",Sammenliknende politikk,"Master degree, comparative politics, two-year",0312,Political sciences and civics
731115,7311,5,True,"Master, konflikt, sikkerhet og flerkulturell forståelse, 1½-årig","Konflikt, sikkerhet og flerkulturell forståelse","Master degree, conflicts, security and multicultural awareness, 1½-year",0312,Political sciences and civics
731116,7311,5,True,"Master, offentlig administrasjon, 1½-årig",Offentlig administrasjon og ledelse,"Master degree, public administration, 1½-year",0413,Management and administration
731117,7311,5,True,"Master, politikk og samfunnsendring, toårig",Politikk og samfunnsendring,"Master degree, politics and society change, two-year",0312,Political sciences and civics
731118,7311,5,True,"Master, Europa-studier, toårig",Europa-studier (EU),"Master degree, European studies, two-year",0312,Political sciences and civics
