age_group,k,coef,se,n_obs,n_occ
4,20,-0.00107401312282325,0.00796361335876572,20332,391
4,21,0.00518054903239538,0.00716234156392562,20332,391
4,22,-0.00105159148964959,0.00692557317667873,20332,391
4,23,-0.00135718424118622,0.00669602200912677,20332,391
4,24,0.0015275514323194,0.00723960936127931,20332,391
4,25,0.00641393144066968,0.00730486587660983,20332,391
4,26,0.0207826646266521,0.00964455243644422,20332,391
4,27,0.0124223641431384,0.0086832518035096,20332,391
4,28,0.0109852120799022,0.00865971783572191,20332,391
4,29,0.00718588737174946,0.00877572079548862,20332,391
