age_bin,ai_q,k,coef,se,n_obs,n_occ
2,3,-13,0.0019945717923350887,0.015577135288325002,24428,394
2,3,-12,0.006554593785155029,0.015366857900995786,24428,394
2,3,-11,0.01793954464672863,0.016663423408790436,24428,394
2,3,-10,0.032514050382834975,0.020253259257025456,24428,394
2,3,-9,0.026603680727748595,0.015781138545213645,24428,394
2,3,-8,0.021726875412332904,0.014346055267487726,24428,394
2,3,-7,0.014305707142623612,0.013683683545162953,24428,394
2,3,-6,0.004210011566695315,0.01371593595437133,24428,394
2,3,-5,-0.005303003554173478,0.014254176653227516,24428,394
2,3,-4,-0.01823056842192069,0.014996202060002826,24428,394
2,3,-3,-0.026577930346673773,0.016248252561565098,24428,394
2,3,-2,-0.010173235496681171,0.008172114637462901,24428,394
2,3,-1,0.0,0.0,24428,394
2,3,0,0.00827108128713061,0.003934896378736815,24428,394
2,3,1,0.014852166942540712,0.007994318866750835,24428,394
2,3,2,0.03445552971947663,0.01222075247496756,24428,394
2,3,3,0.027661023486968972,0.013677128408535565,24428,394
2,3,4,0.02774012395612485,0.014771526419694272,24428,394
2,3,5,0.022965860119500914,0.013803167098087802,24428,394
2,3,6,0.019758699970773952,0.01289670693309404,24428,394
2,3,7,0.017701151040620144,0.010949283421809992,24428,394
2,3,8,0.006254259475008128,0.012548803668186519,24428,394
2,3,9,-0.0061031165849833036,0.017157975429523492,24428,394
2,3,10,0.006617225357944179,0.016861152577012144,24428,394
2,3,11,0.0225777188308377,0.018919096618014362,24428,394
2,3,12,0.030361592025663797,0.01991443234882753,24428,394
2,3,13,0.04513844585226939,0.021362389851587046,24428,394
2,3,14,0.059549108004786744,0.02582097917724966,24428,394
2,3,15,0.05146645472607653,0.02858538388870506,24428,394
2,3,16,0.058175858955173965,0.02971371199684523,24428,394
2,3,17,0.05191542732178367,0.027913224162677774,24428,394
2,3,18,0.047162524589068555,0.025795974538396042,24428,394
2,3,19,0.040438065618959684,0.024278624966568813,24428,394
2,3,20,0.03481528794608724,0.025373107980504607,24428,394
2,3,21,0.022027193035670467,0.026542684593460812,24428,394
2,3,22,0.03285362606214287,0.029294706070569738,24428,394
2,3,23,0.04345348878359662,0.030287994448220078,24428,394
2,3,24,0.055335619507747735,0.032305999811062684,24428,394
2,3,25,0.07782827350473343,0.03523012890380373,24428,394
2,3,26,0.09093090824856387,0.03866717420577322,24428,394
2,3,27,0.09213231373532543,0.040345399944261645,24428,394
2,3,28,0.08831733091160299,0.038617170124192,24428,394
2,3,29,0.07956073725029006,0.03728340908978194,24428,394
