sector,age_group,ai_q,k,coef,se,n_obs,n_occ
1,1,5,9,-0.0349537682292175,0.0451081903349741,21700,350
1,1,5,10,0.0272685926712202,0.0356442472953126,21700,350
1,1,5,11,0.0906203506580813,0.0247394107899683,21700,350
1,1,5,12,0.0592207513731349,0.0258277482545773,21700,350
1,1,5,13,0.0579602373814036,0.0267562150323826,21700,350
1,1,5,14,0.0348177579136265,0.0368280603252469,21700,350
1,1,5,15,0.0410702086916339,0.0343439041127235,21700,350
1,1,5,16,0.0617812915259297,0.0325917225445105,21700,350
1,1,5,17,0.0513152860907083,0.0289172445189745,21700,350
1,1,5,18,0.0602512214736024,0.0321159675035613,21700,350
1,1,5,19,0.0386103939724685,0.033122887960776,21700,350
1,1,5,20,-0.00335411723637091,0.0456763221574459,21700,350
1,1,5,21,0.00170488419214315,0.0495285709383118,21700,350
1,1,5,22,0.0366701851622898,0.0448153629219908,21700,350
1,1,5,23,0.0891434127007645,0.0405210361163398,21700,350
1,1,5,24,0.0815731592348543,0.0375605365564487,21700,350
1,1,5,25,0.124407377582526,0.0519861286587348,21700,350
1,1,5,26,0.104205015169407,0.0602546305668071,21700,350
1,1,5,27,0.114174322167155,0.0552479976735143,21700,350
1,1,5,28,0.134918336986131,0.0549545271592779,21700,350
1,1,5,29,0.134816325976826,0.0548470968611561,21700,350
1,1,5,30,0.0769190208364186,0.0490801273162907,21700,350
1,1,5,31,0.0668008903292864,0.0536954618892671,21700,350
1,1,5,32,0.018769329105011,0.0641206727852324,21700,350
1,1,5,33,0.0257301277028795,0.0656958386324835,21700,350
1,1,5,34,0.0899871102584054,0.060156533879,21700,350
1,1,5,35,0.146893756692718,0.0619354592585451,21700,350
1,1,5,36,0.112889371157802,0.0543620384385246,21700,350
1,1,5,37,0.114911238949406,0.0538777746555347,21700,350
1,1,5,38,0.0826847972696042,0.059876154541323,21700,350
1,1,5,39,0.109096426265825,0.0573788994110237,21700,350
1,2,2,-22,-0.0120427786064558,0.0275552381651077,22072,356
1,2,2,-21,-0.00270815521758935,0.0290110449566992,22072,356
1,2,2,-20,-0.00383548459167445,0.0282206310042823,22072,356
1,2,2,-19,-0.00385982921992488,0.0253230984923098,22072,356
1,2,2,-18,-0.004875102104737,0.0230854746352201,22072,356
1,2,2,-17,-0.0280491538225839,0.0259531355783373,22072,356
1,2,2,-16,-0.00706517497314878,0.0199943972003111,22072,356
1,2,2,-15,-0.0203446251316067,0.0282660565388718,22072,356
1,2,2,-14,-0.013856436850266,0.0179288836432905,22072,356
1,2,2,-13,-0.0113320537217588,0.0147351651827724,22072,356
1,2,2,-12,-0.000356752531721613,0.0131009770489697,22072,356
1,2,2,-11,-0.000295289445623126,0.0134419348621986,22072,356
1,2,2,-10,-0.015676989621473,0.0108401346126959,22072,356
1,2,2,-9,-0.0108669980102137,0.0121852124531059,22072,356
1,2,2,-8,-0.00332893892230304,0.0142408053767977,22072,356
1,2,2,-7,0.000898440506023238,0.0142972779543817,22072,356
1,2,2,-6,-0.00349483042071914,0.0102545786853938,22072,356
1,2,2,-5,-0.0265867584483906,0.0226327579157808,22072,356
1,2,2,-4,-0.00697632345537026,0.0169878188324812,22072,356
1,2,2,-3,-0.0177555836514132,0.0302771648013632,22072,356
1,2,2,-2,-0.00133741952278507,0.0149106706958093,22072,356
1,2,2,0,-0.00572004025675514,0.00514341366454647,22072,356
1,2,2,1,-0.0106946051459307,0.0109722248464095,22072,356
1,2,2,2,-0.0202155389775063,0.00832605800765498,22072,356
1,2,2,3,-0.0147751482058865,0.0107204854371185,22072,356
1,2,2,4,-0.00977046294562685,0.0127556138190777,22072,356
1,2,2,5,-0.01183352064839,0.0104856153453421,22072,356
1,2,2,6,-0.0123622343880121,0.00983686398295263,22072,356
1,2,2,7,-0.045490896656989,0.0195412184163867,22072,356
1,2,2,8,-0.00962858641617231,0.0115335793392278,22072,356
1,2,2,9,-0.0214277931997524,0.0185909340606206,22072,356
1,2,2,10,-0.0214727751703464,0.0092776606114912,22072,356
1,2,2,11,-0.0182460742539228,0.0151608798949392,22072,356
1,2,2,12,-0.0155609709273706,0.0176666349315187,22072,356
1,2,2,13,-0.00793525777325918,0.0227980787523129,22072,356
1,2,2,14,-0.0176218421970275,0.0222043405331601,22072,356
1,2,2,15,-0.0114875530575524,0.0252450765764084,22072,356
1,2,2,16,-0.0101323330560062,0.026305224020079,22072,356
